_id,count_id,count_date,location_name,longitude,latitude,centreline_type,centreline_id,px,start_time,end_time,n_appr_cars_r,n_appr_cars_t,n_appr_cars_l,s_appr_cars_r,s_appr_cars_t,s_appr_cars_l,e_appr_cars_r,e_appr_cars_t,e_appr_cars_l,w_appr_cars_r,w_appr_cars_t,w_appr_cars_l,n_appr_truck_r,n_appr_truck_t,n_appr_truck_l,s_appr_truck_r,s_appr_truck_t,s_appr_truck_l,e_appr_truck_r,e_appr_truck_t,e_appr_truck_l,w_appr_truck_r,w_appr_truck_t,w_appr_truck_l,n_appr_bus_r,n_appr_bus_t,n_appr_bus_l,s_appr_bus_r,s_appr_bus_t,s_appr_bus_l,e_appr_bus_r,e_appr_bus_t,e_appr_bus_l,w_appr_bus_r,w_appr_bus_t,w_appr_bus_l,n_appr_peds,s_appr_peds,e_appr_peds,w_appr_peds,n_appr_bike,s_appr_bike,e_appr_bike,w_appr_bike
165529,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T07:45:00,2026-06-30T08:00:00,22,220,43,10,151,32,24,179,27,85,111,30,1,2,1,1,2,0,0,2,1,0,3,1,0,13,0,6,9,6,0,0,4,5,0,0,44,31,24,51,1,2,2,1
165530,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T12:15:00,2026-06-30T12:30:00,50,193,29,20,215,48,49,152,24,53,121,62,1,1,1,0,6,1,3,6,1,1,1,0,0,4,0,1,3,3,0,1,2,3,0,0,37,16,23,51,3,4,0,1
177724,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T09:15:00,2026-06-30T09:30:00,41,200,30,17,191,37,28,158,42,53,124,58,1,4,3,0,1,2,1,5,1,0,3,0,0,5,0,3,6,4,0,0,4,3,0,0,29,33,30,47,0,0,0,0
177725,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T15:15:00,2026-06-30T15:30:00,48,202,33,11,196,32,51,196,40,71,191,74,3,1,0,0,4,0,0,5,0,1,4,1,0,3,0,4,4,4,0,0,3,5,1,0,40,30,38,51,0,3,1,1
177726,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T15:45:00,2026-06-30T16:00:00,39,222,34,8,219,41,60,179,35,55,158,63,1,2,2,0,1,0,0,3,1,1,2,0,0,7,0,5,4,3,0,1,3,6,1,0,43,28,42,49,1,1,1,1
177727,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T17:00:00,2026-06-30T17:15:00,23,219,35,8,219,39,41,183,37,95,198,58,1,1,1,0,1,0,0,3,0,1,1,0,0,10,0,4,10,7,0,0,2,6,0,0,43,49,41,73,2,1,2,1
177728,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T18:15:00,2026-06-30T18:30:00,25,239,31,14,213,32,47,188,52,86,175,69,1,1,0,0,1,1,1,2,0,2,2,1,0,10,0,6,7,5,0,0,4,7,2,0,49,49,39,68,3,0,1,1
177729,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T19:00:00,2026-06-30T19:15:00,40,236,28,11,235,34,42,181,46,80,169,65,1,0,0,1,1,1,0,1,1,0,1,0,0,9,0,2,8,6,0,0,3,8,0,0,45,35,37,58,3,4,0,2
190692,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T08:15:00,2026-06-30T08:30:00,29,238,34,13,217,36,24,201,32,71,153,35,2,3,2,0,2,1,0,1,0,0,3,1,0,13,0,5,8,4,0,0,5,4,0,0,31,37,29,38,1,2,0,0
190693,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T08:30:00,2026-06-30T08:45:00,19,247,29,8,209,40,20,187,31,80,148,42,1,1,0,0,2,1,0,6,2,1,3,2,0,8,0,4,10,5,0,0,5,9,1,0,48,39,31,55,0,0,1,2
190694,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T09:30:00,2026-06-30T09:45:00,42,199,41,13,172,39,39,181,34,52,141,48,3,2,2,1,4,0,2,4,0,1,3,3,0,8,0,4,9,6,0,0,5,6,0,0,25,35,26,45,0,0,0,1
190695,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T17:30:00,2026-06-30T17:45:00,37,242,30,6,253,32,44,190,41,85,176,59,0,0,1,0,0,0,0,2,0,0,5,0,0,11,0,4,12,5,0,0,1,5,0,0,42,37,37,72,1,0,1,3
190696,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T17:45:00,2026-06-30T18:00:00,38,224,26,9,257,46,49,170,31,80,175,58,0,0,0,0,2,0,0,1,0,1,7,0,0,10,0,4,11,5,0,0,4,2,0,0,59,32,45,99,0,3,3,0
203375,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T11:00:00,2026-06-30T11:15:00,50,199,28,11,181,39,38,170,36,56,126,51,3,3,1,0,3,0,1,8,2,1,5,4,0,9,0,3,7,3,0,0,2,5,0,0,29,18,23,46,2,0,0,1
203376,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T11:15:00,2026-06-30T11:30:00,58,179,29,17,181,44,38,175,39,56,140,60,2,3,1,1,4,0,1,5,0,0,5,2,0,4,0,0,4,2,0,0,4,4,0,0,41,15,20,41,0,2,1,0
203377,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T12:30:00,2026-06-30T12:45:00,71,183,35,13,229,39,56,158,36,65,149,48,1,4,0,1,2,1,0,7,0,2,5,4,1,4,0,2,7,4,0,1,3,4,0,0,35,35,29,46,5,0,4,1
203378,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T14:30:00,2026-06-30T14:45:00,59,180,39,9,210,38,40,200,37,62,174,56,1,1,0,2,3,0,2,6,0,1,1,3,0,4,0,3,6,4,0,0,3,7,0,0,48,28,47,48,3,0,1,1
203379,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T19:45:00,2026-06-30T20:00:00,35,203,26,13,242,31,39,145,31,86,152,66,0,1,1,0,1,0,1,0,1,0,0,0,0,5,0,4,6,4,0,0,1,5,0,0,22,27,35,37,1,5,1,0
215916,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T09:45:00,2026-06-30T10:00:00,38,184,37,11,196,42,38,196,25,49,118,45,2,5,4,1,1,0,2,5,1,1,5,4,0,2,0,4,8,4,0,0,4,6,0,0,28,23,30,42,0,2,0,1
215917,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T13:45:00,2026-06-30T14:00:00,52,172,40,21,189,51,34,165,36,67,129,51,1,3,2,0,6,0,1,13,0,0,1,5,0,7,0,4,3,5,0,0,4,2,0,0,33,21,24,62,4,1,1,0
215918,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T14:45:00,2026-06-30T15:00:00,35,196,42,9,215,45,51,174,28,66,164,64,0,0,2,1,2,0,0,8,0,2,4,1,0,4,0,5,5,5,0,0,3,3,1,0,21,25,44,47,2,0,1,0
227299,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T08:00:00,2026-06-30T08:15:00,23,218,28,9,145,27,18,204,36,104,158,29,1,5,2,0,1,0,1,1,0,1,2,4,0,13,0,4,9,5,0,0,4,4,0,0,35,36,36,33,1,0,0,0
227300,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T12:00:00,2026-06-30T12:15:00,51,209,31,16,205,33,42,159,29,48,143,52,1,3,0,1,3,2,2,7,0,2,4,0,0,6,0,4,4,3,0,0,4,6,1,0,43,32,22,65,1,2,3,1
227301,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T13:30:00,2026-06-30T13:45:00,67,194,28,14,194,36,44,166,39,70,159,62,0,6,2,2,1,1,2,5,0,2,9,1,0,2,0,4,7,1,0,0,4,5,0,0,54,22,29,63,2,3,1,2
239663,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T06:45:00,2026-06-30T07:00:00,18,104,16,11,61,26,12,153,17,37,74,19,0,3,0,0,0,0,2,2,0,1,3,2,0,9,0,6,7,5,0,0,4,6,0,0,25,20,14,21,1,2,0,1
239664,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T07:30:00,2026-06-30T07:45:00,30,223,23,9,116,22,19,157,20,63,139,44,2,4,2,2,0,1,1,1,1,2,3,1,0,8,0,3,5,6,0,1,6,6,0,0,35,51,25,69,2,2,2,1
239665,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T08:45:00,2026-06-30T09:00:00,25,248,38,9,207,36,33,182,41,88,133,47,2,5,1,0,3,1,0,4,0,2,4,3,0,6,0,5,11,6,0,0,4,4,0,0,32,30,30,48,2,2,1,1
251950,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T16:30:00,2026-06-30T16:45:00,42,203,35,9,209,34,51,181,34,57,175,62,0,1,1,0,2,1,1,4,0,1,3,2,1,12,1,4,10,4,0,0,4,6,0,0,45,40,46,58,6,2,2,0
251951,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T18:45:00,2026-06-30T19:00:00,39,200,35,7,229,45,38,184,36,67,188,65,0,0,0,0,2,0,0,5,0,0,2,0,0,6,0,3,5,3,0,0,3,5,0,0,45,23,54,67,7,5,1,1
265023,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T10:00:00,2026-06-30T10:15:00,41,190,39,22,164,27,41,185,36,59,117,37,4,6,1,0,4,0,0,7,0,5,12,1,0,12,0,3,6,3,0,1,4,5,1,0,27,23,25,46,0,2,0,0
265024,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T13:15:00,2026-06-30T13:30:00,50,138,32,17,165,43,35,187,35,52,146,57,2,5,0,1,2,4,4,4,1,0,5,1,0,5,0,3,2,4,0,0,3,3,0,0,30,24,31,55,4,1,1,1
265025,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T15:30:00,2026-06-30T15:45:00,51,221,48,12,235,38,44,171,25,66,172,55,2,1,1,0,4,1,0,5,0,0,1,1,0,7,0,5,11,6,0,0,3,7,0,0,35,27,33,93,5,0,1,0
265026,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T19:30:00,2026-06-30T19:45:00,36,181,29,9,220,47,33,154,33,74,170,64,0,0,0,0,3,0,0,5,0,0,1,0,0,5,0,3,10,4,0,0,5,7,0,0,36,46,36,42,4,9,4,3
